match_id,home_score,away_score,status
WC2026-001,2,0,FINISHED
WC2026-002,2,1,FINISHED
WC2026-003,1,1,FINISHED
WC2026-004,4,1,FINISHED
WC2026-005,1,1,FINISHED
WC2026-006,1,1,FINISHED
WC2026-007,0,1,FINISHED
WC2026-008,2,0,FINISHED
WC2026-009,7,1,FINISHED
WC2026-010,2,2,FINISHED
WC2026-011,1,0,FINISHED
WC2026-012,5,1,FINISHED
WC2026-013,0,0,FINISHED
WC2026-014,1,1,FINISHED
WC2026-015,2,2,FINISHED
WC2026-016,5,1,FINISHED
WC2026-017,3,1,FINISHED
WC2026-018,1,4,FINISHED
WC2026-019,3,0,FINISHED
WC2026-020,3,1,FINISHED
WC2026-021,1,1,FINISHED
WC2026-022,4,2,FINISHED
WC2026-023,1,0,FINISHED
WC2026-024,1,3,FINISHED
WC2026-025,1,1,FINISHED
WC2026-026,4,1,FINISHED
WC2026-027,6,0,FINISHED
WC2026-028,1,0,FINISHED
WC2026-029,2,0,FINISHED
WC2026-030,0,1,FINISHED
WC2026-031,3,0,FINISHED
WC2026-032,0,1,FINISHED
WC2026-033,5,1,FINISHED
WC2026-034,2,1,FINISHED
WC2026-035,0,0,FINISHED
WC2026-036,0,4,FINISHED
WC2026-037,4,0,FINISHED
WC2026-038,0,0,FINISHED
WC2026-039,2,2,FINISHED
WC2026-040,1,3,FINISHED
WC2026-041,2,0,FINISHED
WC2026-042,3,0,FINISHED
WC2026-043,3,2,FINISHED
WC2026-044,1,2,FINISHED
WC2026-045,5,0,FINISHED
WC2026-046,0,0,FINISHED
WC2026-047,0,1,FINISHED
WC2026-048,1,0,FINISHED
WC2026-049,2,1,FINISHED
WC2026-050,3,1,FINISHED
WC2026-051,4,2,FINISHED
WC2026-052,0,3,FINISHED
WC2026-053,1,0,FINISHED
WC2026-054,0,3,FINISHED
WC2026-055,0,2,FINISHED
WC2026-056,2,1,FINISHED
WC2026-057,1,3,FINISHED
WC2026-058,1,1,FINISHED
WC2026-059,3,2,FINISHED
WC2026-060,0,0,FINISHED
WC2026-061,1,4,FINISHED
WC2026-062,5,0,FINISHED
WC2026-063,0,0,FINISHED
WC2026-064,0,1,FINISHED
WC2026-065,1,5,FINISHED
WC2026-066,1,1,FINISHED
WC2026-067,0,2,FINISHED
WC2026-068,2,1,FINISHED
WC2026-069,0,0,FINISHED
WC2026-070,3,1,FINISHED
WC2026-071,3,3,FINISHED
WC2026-072,1,3,FINISHED
WC2026-073,0,1,FINISHED
WC2026-074,2,1,FINISHED
WC2026-075,1,1,FINISHED
WC2026-076,1,1,FINISHED
WC2026-077,1,2,FINISHED
WC2026-078,3,0,FINISHED
WC2026-079,2,0,FINISHED
WC2026-080,2,1,FINISHED
WC2026-081,3,2,FINISHED
WC2026-082,2,0,FINISHED
WC2026-083,3,0,FINISHED
WC2026-084,2,1,FINISHED
WC2026-085,2,0,FINISHED
WC2026-086,1,1,FINISHED
WC2026-087,3,2,FINISHED
WC2026-088,1,0,FINISHED
